IDRenglonVR,IDSubDeterminacionVR,Categoria,ValoresNormales,InformarUnidades
3223,4776,Valor de referencia,< 1500,1
3224,4777,,Hasta 157,1
3225,4779,8 a.m.,"Hasta 0,69",1
3226,4779,11 p.m.,"Hasta 0,43",1
3227,4781,Valor de referencia:,Hasta 5 glob. De grasa/campo,1
3228,4789,de 2 a 17 años:,"3,0 a 40,0",1
3229,4789,Adultos:,"10,0 a 40,0",1
3230,4790,CLSI,15-22,1
3231,4791,CLSI,23-29,1
3232,4792,CLSI,15-21,1
3233,4793,CLSI,25-32,1
3234,4794,CLSI,26-32,1
3235,4795,CLSI,29-38,1
3236,4796,CLSI,19-26,1
3237,4811,Sin efectos aparentes:,"Menor de 0,50",1
3238,4811,Depresion del SNC,"Mayor de 1,0",1
3239,4811,Posible coma alcoholico:,"Mayor de 4,0",1
3240,4814,Hasta:,"12,5",1
3241,4816,Valor de referencia:,"Hasta 11,4",1
3242,4817,No Expuesto:,"Hasta 1,5",1
3243,4817,BEI:,"Hasta 1,6",1
3245,4818,BEI:,"Hasta 0,3",1
3246,4819,BEI:,Hasta 15,1
3247,4820,No expuestos:,"Hasta 20,7",1
3248,4820,Expuestos al benceno:,"Hasta 45,0",1
3249,4820,Expuestos a Fenoles:,"Hasta 300,0",1
3250,4820,BEI:,Hasta 250,1
3251,4822,,,1
3252,4828,Negativo:,"Hasta 4,5",1
3253,4829,No expuestos:,Hasta 133,1
3254,4829,BEI:,Hasta 500,1
3255,4830,No expuestos:,"Hasta 2,5",1
3256,4830,Expuestos:,"Hasta 3,2",1
3257,4830,B.E.I.:,"Según ACGIH: 7,2",1
3258,4831,Valores de referencia,"Hasta 0,3",1
3259,4834,Valor de referencia:,"Hasta 4,5",1
3260,4834,Limite de cuantificacion:,"0,5 mg/L.",0
3261,4835,,,1
3262,3902,Varones:,"3,1 a 17,7",1
3263,3902,BEI (*):,"Hasta 30,0",1
3264,4841,B.E.I:,"3,0",1
3265,4844,Negativo:,"RP menor a 0,9",1
3266,4844,Indeterminado:,"RP entre 0,9 - 1,1",1
3267,4844,Positivo:,"Mayor a 1,1",1
3268,4845,Valor de referencia:,50 a 150,1
3269,4846,,De 1 a 150,1
3270,4847,,De 1 a 20,1
3271,4848,,Hasta 65,1
3272,4850,Valor de referencia:,"12,9 - 15,3",1
3273,4851,Valor de referencia:,de 72 a 100,1
3274,4852,Valor de referencia:,de 25 a 41,1
3275,4853,Valor de referencia:,de 150.000  - 400.000,1
3276,4854,Valor normal:,"de 1,00 a 1,20",1
3277,4857,Valores de referencia:,Hombres: 104 a 202,1
3278,4857,,Mujeres: 108 a 225,1
3279,4860,Valores de referencia:,De 6021 a 9165,1
3282,2555,Positivo:,Mayor o igual a 7,1
3283,4861,Valor normal:,"Hasta 0,6",1
3284,4861,Dialisis cronica:,"Hasta 6,0",1
3285,4863,Negativo:,Menor de 10,1
3286,4863,Positivo:,Igual o Mayor de 10,1
3287,4804,CLSI,15-22,1
3288,4805,CLSI,28-36,1
3289,4806,CLSI,21-27,1
3290,4807,CLSI,29-35,1
3291,4808,CLSI,28-35,1
3292,4809,CLSI,29-37,1
3293,4810,CLSI,19-26,1
3294,4867,No Reactivo:,"Menor a 1,0",1
3295,4867,Reactivo:,"Mayor o igual a 1,0",1
3296,4868,Valores normales:,de 12 a 110,1
3297,4877,BEI:,Hasta 2,1
3298,4878,BEI al isopropanol:,Hasta 40,1
3299,4878,BEI a cetonas:,Hasta 25,1
3300,4879,BEI: Hasta 15,,1
3301,4892,Clase 0:,Ausencia,1
3302,4893,Clase 0:,Ausencia,1
3303,4895,Valor de referencia:,< 50,1
3304,4900,0 a 2 meses:,"4,5 a 9,0",1
3305,4900,3 a 6 meses:,"5,0 a 12,0",1
3306,4900,7 a 9 meses:,"6,0 a 12,0",1
3307,4900,10 a 12 meses:,"7,0 a 13,0",1
3308,4900,(*) Mayor de 1 año:,"7,0 a 15,0",1
3309,4901,Valores de referencia:,"Hasta 0,05",1
3310,4901,"BEI: Hasta 0,70 ug/dl.",,0
3311,4901,Limite de cuantificacion:,"0,02",1
3312,2617,Valor normal:,Menor de 30,1
3313,4903,Valor de referencia:,Hasta 100,1
3314,4908,Valor normal del pico:,de 9 a 10,1
3315,4592,Valor de referencia:,"Hasta 45,0",1
3316,4909,Sensibilidad:,"1,0 ng/ml.",1
3317,4911,Normal:,"Menor o igual a 5,6",1
3318,4911,Pre-Diabetes:,"5,7 a 6,4",1
3319,4911,Diabetes:,"Mayor o igual a 6,5",1
3320,4912,Diagnóstico de Sepsis:,,0
3321,4912,Individuo Sano:,"< 0,05",1
3322,4912,Bajo riesgo de infección bacteriana:,"< 0,5",1
3323,4912,Sepsis:,> 0.5 a 2.0,1
3324,4912,Sepsis severa o shock séptico:,> 10,1
3325,4912,,,0
3326,4912,Infecciones del tracto respiratorio bajo:,,0
3327,4912,Ausencia de infección:,< 0.10,1
3328,4912,Infección bacteriana poco probable:,> 0.1 a 0.25,1
3329,4912,Posible infección bacteriana:,> 0.20 a 10.0,1
3330,4912,Presencia de infección bacteriana:,> 0.5,1
3331,4913,Arterial:,"De 7,35 a 7,45",1
3332,4913,Venoso:,"De 7,33 a 7,43",1
3333,4914,Arterial:,de 35 a 45,1
3334,4914,Venoso:,de 38 a 50,1
3335,4915,Arteriial:,de 80 a 100,1
3336,4915,Venoso:,de 30 a 50,1
3337,4916,Arterial:,de 22 a 26,1
3338,4916,Venoso:,de 23 a 27,1
3339,4917,Valores normales:,de -2 a +2,1
3340,4918,Arterial:,de 94 a 100,1
3341,4918,Venoso:," de 60 a 85",1
3342,4934,,,0
3343,4920,Valores de referencia:,"5,50 a 8,50 mill",1
3344,4921,Valores de referencia:,37 a 55,1
3345,4922,Valores de referencia:,12 a 18,1
3346,4923,Valores de referencia:,60 a 77,1
3347,4924,Valores de referencia:,"19,5 a 24,5",1
3348,4926,Valores de referencia:,33 a 36,1
3349,4927,Valores de referencia,"6,000 a 17,000",1
3350,4928,Valores de referencia:,0 - 1,1
3351,4929,Valores de referencia:,60 - 70,1
3352,4930,Valores de referencia:,2 - 10,1
3353,4931,Valores de referencia:,0 - 1,1
3354,4932,Valores de referencia:,12 - 30,1
3355,4933,Valores de referencia:,3 - 10,1
3362,4953,Hombres:,70 a 150,1
3363,4953,Mujeres:,80 a 155,1
