IDAdicionalAplicado,IDProtocolo,IDAdicional,IDObraSocial,MontoFijo,PorcentajeSP
619,567,1,4,0,0
620,568,1,4,0,0
621,569,1,4,0,0
622,570,1,1,0,0
623,571,1,17,0,0
624,572,1,4,0,0
625,573,1,41,0,0
626,574,1,4,0,0
627,575,1,4,0,0
628,576,1,7,0,0
629,577,1,42,0,0
630,578,1,7,0,0
631,579,1,43,0,0
632,580,1,43,0,0
633,581,1,4,0,0
634,582,1,4,0,0
635,582,2,4,0,0
636,582,3,4,0,0
637,583,1,4,0,0
638,583,2,4,0,0
639,583,3,4,0,0
640,584,1,4,0,0
641,584,2,4,0,0
642,584,3,4,0,0
643,585,1,4,0,0
644,586,1,4,0,0
645,587,1,4,0,0
646,588,1,4,0,0
647,589,1,4,0,0
648,590,1,4,0,0
649,591,1,4,0,0
650,592,1,4,0,0
651,593,1,4,0,0
652,594,1,4,0,0
653,595,1,4,0,0
654,596,1,17,0,0
655,597,1,4,0,0
656,598,1,4,0,0
657,599,1,4,0,0
658,600,1,4,0,0
659,601,1,4,0,0
660,602,1,4,0,0
661,603,1,4,0,0
662,604,1,4,0,0
663,605,1,4,0,0
664,606,1,7,0,0
665,607,1,4,0,0
666,608,1,44,0,0
667,609,1,6,0,0
668,610,1,7,0,0
669,611,1,4,0,0
670,612,1,4,0,0
671,613,1,43,0,0
672,614,1,45,0,0
674,616,1,4,0,0
675,617,1,4,0,0
676,618,1,4,0,0
677,619,1,4,0,0
678,620,1,4,0,0
679,621,1,4,0,0
680,621,2,4,0,0
681,621,3,4,0,0
682,622,1,4,0,0
683,623,1,4,0,0
684,624,1,4,0,0
685,625,1,4,0,0
686,626,1,46,0,0
687,627,1,4,0,0
688,628,1,4,0,0
689,628,2,4,0,0
690,628,3,4,0,0
691,629,1,4,0,0
692,630,1,4,0,0
693,631,1,4,0,0
694,632,1,4,0,0
695,633,1,4,0,0
696,634,1,4,0,0
697,635,1,4,0,0
698,636,1,4,0,0
699,637,1,7,0,0
700,637,2,7,0,0
701,637,3,7,0,0
702,638,1,1,0,0
703,638,2,1,0,0
704,638,3,1,0,0
705,639,1,47,0,0
706,639,2,47,0,0
707,639,3,47,0,0
708,640,1,7,0,0
709,641,1,4,0,0
710,642,1,7,0,0
711,643,1,7,0,0
712,644,1,41,0,0
713,645,1,4,0,0
714,646,1,4,0,0
715,647,1,4,0,0
716,648,1,7,0,0
717,648,2,7,0,0
718,648,3,7,0,0
719,649,1,4,0,0
720,649,2,4,0,0
721,649,3,4,0,0
722,650,1,48,0,0
723,651,1,4,0,0
724,652,1,7,0,0
725,653,1,46,0,0
726,654,1,4,0,0
727,654,2,4,0,0
728,654,3,4,0,0
729,656,1,4,0,0
730,656,2,4,0,0
731,656,3,4,0,0
732,657,1,4,0,0
733,658,1,4,0,0
734,659,1,4,0,0
736,661,1,49,0,0
737,662,1,7,0,0
738,662,2,7,0,0
739,662,3,7,0,0
740,663,1,50,0,0
741,663,2,50,0,0
